,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,chain_break_fraction,energy,num_occurrences
0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0.0,-766.8212342986612,7
1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0.0,-765.2382284184391,4
2,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0.0,-749.9495405653599,2
3,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0.0,-749.6632667018303,5
4,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0.0,-748.0802608216081,4
5,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0.0,-743.1417245893604,2
6,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0.0,-742.071182601281,6
7,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0.0,-741.5587187091382,3
8,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0.0,-740.4881767210588,3
9,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0.0,-738.1904823947327,1
10,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0.0,-736.6074765145106,2
11,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0.0,-736.3457535791808,1
12,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0.0,-734.7627476989587,2
13,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0.0,-733.5722987904455,1
14,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0.0,-732.781572968529,1
15,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0.0,-732.1099221517404,3
16,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0.0,-731.9892929102234,3
17,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0.0,-725.9737569925294,4
18,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0.0,-725.4941903376373,1
19,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0.0,-724.9032150044497,1
20,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0.0,-724.3907511123073,1
21,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0.0,-723.9111844574152,2
22,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0.0,-723.3202091242276,3
23,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0.0,-722.5145830030049,1
24,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0.0,-721.0425147979017,1
25,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0.0,-720.598482151554,2
26,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0.0,-720.1843652651444,3
27,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0.0,-719.4595089176796,1
28,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0.0,-719.1138232770647,2
29,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0.0,-719.0154762713319,3
30,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0.0,-718.1028948630612,1
31,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0,-717.6147801021277,1
32,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0.0,-716.5198889828391,2
33,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0.0,-715.7068119929868,2
34,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0.0,-714.9865054831093,1
35,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0.0,-714.9619545549094,1
36,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0.0,-714.5209726854318,1
37,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0.0,-713.4034996028872,1
38,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0.0,-712.67624386988,1
39,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0.0,-711.2092576302166,1
40,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0.0,-711.0932379896578,1
41,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.0,-710.0366054505555,3
42,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0.0,-710.0226960015782,2
43,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0.0,-708.8322470930652,2
44,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0.0,-708.7649448861557,2
45,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0.0,-708.4404124424395,3
46,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0.0,-708.0115212711485,1
47,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0.0,-706.949621286396,1
48,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0.0,-706.7532168605842,1
49,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0.0,-706.2454481486857,1
50,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0.0,-704.6094035485355,2
51,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0.0,-704.1098368936434,1
52,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0.0,-703.8251354239856,3
53,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0.0,-703.7367884182527,1
54,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0.0,-703.450514554723,1
55,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0.0,-703.0263976683134,1
56,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0.0,-702.5268310134213,1
57,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0.0,-701.62444143226,1
58,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0.0,-701.2312011297599,3
59,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0.0,-700.9449272662303,1
60,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0.0,-700.7989997272992,2
61,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0.0,-700.7726175552123,2
62,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0.0,-700.4280791739263,1
63,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.0,-699.3619213860081,1
64,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0.0,-699.2159938470769,1
65,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0.0,-695.8723399031508,1
66,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0.0,-695.7799992083787,1
67,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0.0,-695.4568369792987,3
68,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0.0,-695.4468808546674,2
69,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0.0,-695.4343135677639,1
70,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0.0,-694.2893340229286,6
71,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0.0,-694.2754245739513,1
72,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0.0,-693.9352703928269,2
73,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0.0,-693.8738310990764,1
74,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0.0,-693.8638749744453,1
75,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0.0,-693.4762570330765,1
76,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0.0,-693.0310953478433,1
77,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0.0,-692.7448214843137,1
78,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0.0,-691.9577302476255,1
79,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0.0,-691.9396392625112,2
