,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.03,1
1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.03,1
2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.03,1
3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.03,1
4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.03,1
5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.03,1
6,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.060000000000000005,1
7,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.060000000000000005,1
8,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.060000000000000005,1
9,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.060000000000000005,1
10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.060000000000000005,1
11,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.060000000000000005,1
12,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.060000000000000005,1
13,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.060000000000000005,1
14,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.060000000000000005,1
15,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0.0,0.060000000000000005,1
16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.060000000000000005,1
17,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.060000000000000005,1
18,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.060000000000000005,1
19,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.060000000000000005,1
20,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.060000000000000005,1
21,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.060000000000000005,1
22,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.060000000000000005,1
23,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.060000000000000005,1
24,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.060000000000000005,1
25,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0,0.060000000000000005,1
26,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0.0,0.060000000000000005,1
27,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0.0,0.060000000000000005,1
28,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.060000000000000005,1
29,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.060000000000000005,1
30,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.060000000000000005,1
31,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.060000000000000005,1
32,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0.0,0.060000000000000005,1
33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.0,0.060000000000000005,1
34,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0.0,0.060000000000000005,1
35,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.060000000000000005,1
36,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0.0,0.060000000000000005,1
37,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0.0,0.060000000000000005,1
38,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.0,0.060000000000000005,1
39,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.09999999999999999,1
40,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.09999999999999999,1
41,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0.0,0.09999999999999999,1
42,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.09999999999999999,1
43,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.09999999999999999,1
44,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.09999999999999999,1
45,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.09999999999999999,1
46,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.09999999999999999,1
47,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.09999999999999999,1
48,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.09999999999999999,1
49,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.09999999999999999,1
50,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0.0,0.09999999999999999,1
51,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.09999999999999999,1
52,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0.0,0.09999999999999999,1
53,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0.0,0.09999999999999999,1
54,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.0,0.09999999999999999,1
55,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.09999999999999999,1
56,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0.0,0.09999999999999999,1
57,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0.0,0.09999999999999999,1
58,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.09999999999999999,1
