,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,chain_break_fraction,energy,num_occurrences
0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0.0,-786.7714206873904,3
1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0.0,-773.0258635769419,2
2,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0.0,-762.0213689900099,3
3,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0.0,-758.1406687834619,4
4,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0,-755.3542693855784,21
5,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0.0,-753.5224851791747,2
6,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0.0,-753.3276860120604,1
7,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0,-751.5870215326856,6
8,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0.0,-751.4108702866376,1
9,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0.0,-747.446104751938,1
10,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0.0,-744.4051116730134,3
11,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0.0,-742.8619809303827,1
12,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0.0,-742.3231914251287,1
13,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0.0,-741.6187122751298,8
14,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0.0,-740.548668540283,3
15,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0,-740.0755815324992,8
16,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0.0,-739.7869280687262,1
17,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0.0,-738.2437973260955,1
18,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0.0,-737.8414644222371,4
19,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0,-736.2983336796065,4
20,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0.0,-733.9950212895069,4
21,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0.0,-733.7105476414895,1
22,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0,-730.6142176881979,12
23,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0.0,-730.1904765542918,1
