,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,chain_break_fraction,energy,num_occurrences
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.01,1
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.01,1
2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.03,1
3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.03,1
4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.03,1
5,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.0,0.03,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.0,0.03,1
7,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0.0,0.03,1
8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.03,1
9,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.03,1
10,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.03,1
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.0,0.03,1
12,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.03,1
13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.0,0.03,1
14,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.03,1
15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.0,0.03,1
16,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.03,1
17,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.03,1
18,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.0,0.03,1
19,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0.0,0.060000000000000005,1
20,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.060000000000000005,1
21,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0.0,0.060000000000000005,1
22,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0.060000000000000005,1
23,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0.060000000000000005,1
24,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.0,0.060000000000000005,1
25,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.0,0.060000000000000005,1
26,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.060000000000000005,1
27,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0.0,0.060000000000000005,1
28,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0.0,0.060000000000000005,1
29,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0.0,0.060000000000000005,1
30,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0.0,0.060000000000000005,1
31,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0.0,0.060000000000000005,1
32,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.060000000000000005,1
33,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.060000000000000005,2
34,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0.0,0.060000000000000005,1
35,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.060000000000000005,1
36,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0.0,0.060000000000000005,1
37,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.0,0.060000000000000005,1
38,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0.0,0.060000000000000005,1
39,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0.0,0.060000000000000005,1
40,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0.0,0.060000000000000005,1
41,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0.0,0.060000000000000005,1
42,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0.0,0.060000000000000005,1
43,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0.0,0.060000000000000005,1
44,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0,0.060000000000000005,1
45,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.060000000000000005,1
46,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.0,0.060000000000000005,1
47,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.0,0.060000000000000005,1
48,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.0,0.060000000000000005,1
49,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.0,0.060000000000000005,1
50,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0,0.060000000000000005,1
51,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0,0.060000000000000005,1
52,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0.0,0.060000000000000005,1
53,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0,0.060000000000000005,1
54,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,0.060000000000000005,1
55,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.060000000000000005,1
56,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.060000000000000005,1
57,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.0,0.060000000000000005,1
58,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.0,0.060000000000000005,1
59,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.0,0.060000000000000005,1
60,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.060000000000000005,1
61,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.060000000000000005,1
62,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0.0,0.060000000000000005,1
63,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0.0,0.060000000000000005,1
64,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0.0,0.060000000000000005,1
65,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0.0,0.060000000000000005,1
66,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0.0,0.060000000000000005,1
67,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.0,0.060000000000000005,1
68,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.0,0.060000000000000005,1
69,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0.0,0.060000000000000005,1
70,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0.0,0.060000000000000005,1
71,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.0,0.060000000000000005,1
72,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.060000000000000005,1
73,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.060000000000000005,1
74,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.060000000000000005,1
75,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0.0,0.060000000000000005,1
76,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0.0,0.060000000000000005,1
77,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.0,0.060000000000000005,1
78,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.0,0.060000000000000005,1
79,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0.0,0.060000000000000005,1
80,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.060000000000000005,1
81,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0.0,0.060000000000000005,1
82,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0.0,0.060000000000000005,1
83,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0.0,0.09999999999999999,1
84,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0.0,0.09999999999999999,1
85,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0,0.09999999999999999,1
86,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0.0,0.09999999999999999,1
87,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0.0,0.09999999999999999,1
88,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.0,0.09999999999999999,1
89,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0.0,0.09999999999999999,1
90,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0.0,0.09999999999999999,1
91,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.0,0.09999999999999999,1
92,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0.0,0.09999999999999999,1
93,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.09999999999999999,2
94,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0.0,0.09999999999999999,1
95,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.0,0.09999999999999999,1
96,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0.0,0.09999999999999999,1
97,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0.0,0.09999999999999999,1
98,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0.0,0.09999999999999999,2
99,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0.0,0.09999999999999999,1
100,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0.0,0.09999999999999999,1
101,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0.0,0.09999999999999999,1
102,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.09999999999999999,2
103,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0.0,0.09999999999999999,1
104,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0.0,0.09999999999999999,1
105,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0.0,0.09999999999999999,1
106,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0.0,0.09999999999999999,1
107,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0.0,0.09999999999999999,1
108,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0.0,0.09999999999999999,1
109,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.09999999999999999,1
110,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0.0,0.09999999999999999,1
111,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0.0,0.09999999999999999,3
112,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0.0,0.09999999999999999,1
113,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0.0,0.09999999999999999,1
114,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0.0,0.09999999999999999,1
115,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0.0,0.09999999999999999,1
116,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0.0,0.09999999999999999,1
117,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0.0,0.09999999999999999,1
118,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0.0,0.09999999999999999,1
119,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0.0,0.09999999999999999,1
120,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0.0,0.09999999999999999,1
121,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0.0,0.09999999999999999,1
122,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0.0,0.09999999999999999,1
123,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0.0,0.09999999999999999,1
124,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0.0,0.09999999999999999,1
125,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0.0,0.09999999999999999,1
126,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.0,0.09999999999999999,1
127,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0,0.09999999999999999,1
128,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0.0,0.09999999999999999,1
129,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.09999999999999999,1
130,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0.0,0.09999999999999999,1
131,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0.0,0.09999999999999999,1
132,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0.0,0.09999999999999999,1
133,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0.0,0.09999999999999999,1
134,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0.0,0.09999999999999999,1
135,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0.0,0.09999999999999999,1
136,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0.0,0.09999999999999999,1
137,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0.0,0.09999999999999999,1
138,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0.0,0.09999999999999999,1
139,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0.0,0.09999999999999999,1
140,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0.0,0.09999999999999999,1
141,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0.0,0.09999999999999999,1
142,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0.0,0.09999999999999999,1
143,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0.0,0.09999999999999999,1
144,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.0,0.09999999999999999,1
145,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0.0,0.09999999999999999,1
146,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0.0,0.09999999999999999,1
147,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0.0,0.09999999999999999,1
148,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0.0,0.09999999999999999,1
149,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0.0,0.09999999999999999,1
150,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0.0,0.09999999999999999,1
151,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.0,0.09999999999999999,1
152,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0.0,0.09999999999999999,1
153,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0.0,0.09999999999999999,1
154,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0.0,0.09999999999999999,1
155,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0.0,0.09999999999999999,1
156,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0.0,0.09999999999999999,1
157,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0.0,0.09999999999999999,1
