,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,chain_break_fraction,energy,num_occurrences
0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0.0,-808.9579656644257,16
1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0.0,-807.3749597842035,6
2,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0.0,-792.0862719311243,15
3,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0.0,-791.7999980675946,9
4,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0.0,-790.2169921873725,8
5,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0.0,-784.2079139670453,3
6,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0.0,-782.6249080868231,13
7,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0.0,-780.3272137604972,4
8,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0.0,-778.744207880275,3
9,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0.0,-778.4824849449453,4
10,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0.0,-776.8994790647231,1
11,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0.0,-774.9183043342933,4
12,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0.0,-774.7152370920526,1
13,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0.0,-774.2466535175049,4
14,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0.0,-773.1322312118303,4
15,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0.0,-767.6309217034018,3
16,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0.0,-767.3262202337439,1
17,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0.0,-767.0399463702142,6
18,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0.0,-766.2343202489915,6
19,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0.0,-766.0479158231796,2
20,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0.0,-765.5216129152019,2
21,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0.0,-765.4569404899921,2
22,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0.0,-764.6513143687694,1
23,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0.0,-763.9386070349797,1
24,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0.0,-763.4655200271958,3
25,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0.0,-763.1792461636661,1
26,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0.0,-762.8335605230513,1
27,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0.0,-761.6207912116439,1
28,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0.0,-761.596240283444,2
29,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0.0,-761.1522076370961,1
30,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0.0,-760.2396262288257,7
31,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0.0,-759.7515114678921,1
32,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0.0,-758.6566203486035,2
33,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0.0,-757.8435433587512,2
34,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0.0,-757.1232368488737,2
35,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0.0,-757.0986859206738,2
36,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0.0,-755.9742636149994,1
37,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0.0,-755.5871620631168,2
38,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0.0,-755.5402309686515,2
39,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0.0,-753.7563426965421,3
40,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0.0,-753.7424332475648,3
41,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0.0,-753.3459889959811,1
42,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0.0,-752.4846821321422,1
43,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,-752.17333681632,1
44,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0.0,-752.1594273673426,2
45,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0.0,-751.7629831157589,1
46,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0.0,-750.9016762519201,2
47,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0.0,-750.7592279701004,4
48,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0.0,-750.4729541065707,2
49,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0.0,-750.148252636913,4
50,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0.0,-749.9651853946722,2
51,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0.0,-749.5066018201245,4
52,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0.0,-749.3726265156902,6
53,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0.0,-749.0863526521605,3
54,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0.0,-748.6599191819005,1
55,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0.0,-748.3736453183708,1
56,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0.0,-747.5033467719383,3
57,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0.0,-746.7906394381487,1
58,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0.0,-746.3075524303648,2
59,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0.0,-745.9618667897499,1
60,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0.0,-745.873519784017,2
61,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0.0,-745.6755929262202,1
62,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0.0,-745.5872459204874,1
63,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0.0,-744.6635623791856,4
64,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0.0,-744.4923548011989,1
65,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0.0,-744.4628236148129,1
66,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0.0,-744.0925870459981,2
67,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0.0,-744.0042400402651,1
68,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0.0,-743.3679324955243,4
69,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0.0,-742.9093489209765,4
70,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0.0,-742.3809734007822,4
71,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0.0,-741.4942685516111,1
72,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0.0,-740.7151069483061,3
73,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0.0,-740.2515431155723,1
74,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0.0,-739.911262671389,4
75,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0.0,-739.0001697994733,2
76,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.0,-738.8703781327541,1
77,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0.0,-738.7154683298154,4
78,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0.0,-738.4291944662857,1
79,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0,-738.3822633718205,1
80,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0.0,-738.0090712689152,1
81,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0.0,-737.9951618199381,2
82,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0.0,-737.593568345063,2
83,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0.0,-737.5836122204317,1
84,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0.0,-737.417163919251,3
85,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0.0,-737.2873722525319,1
