,0,1,2,3,4,5,6,7,8,9,10,11,12,13,chain_break_fraction,energy,num_occurrences
0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0.0,-470.97300330002344,3
1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0.0,-470.85237405850637,4
2,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0.0,-454.36601103638,1
3,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0.0,-454.2453817948629,3
4,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0.0,-454.12130956672206,1
5,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.0,-453.8350357031924,1
6,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0.0,-453.7144064616753,3
7,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0.0,-453.1404314600909,4
8,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0.0,-453.01980221857383,2
9,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0.0,-449.5686498560294,5
10,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0.0,-449.44802061451236,2
11,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0.0,-449.44802061451236,1
12,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0.0,-444.6325130093243,3
13,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0.0,-444.51188376780726,4
14,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0.0,-444.26159245595136,3
15,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0.0,-444.1409632144343,3
16,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0.0,-438.9069813242225,3
17,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0.0,-438.7863520827055,9
18,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0.0,-437.70406779180774,1
19,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0.0,-437.23804343954885,4
20,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0.0,-436.2987377267895,2
21,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0.0,-436.0124638632598,1
22,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0.0,-435.89183462174276,2
23,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0.0,-433.4803303310413,1
24,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0.0,-433.3597010895242,1
25,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0.0,-432.9516575923859,5
26,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0.0,-432.95165759238597,2
27,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0.0,-432.83102835086885,3
28,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0.0,-432.8310283508689,3
29,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0.0,-432.72695612272804,1
30,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0.0,-432.44068225919835,2
31,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0.0,-432.44068225919835,1
32,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0.0,-432.3200530176813,1
33,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0.0,-431.7260780160969,4
34,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0.0,-431.7260780160969,2
35,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0.0,-431.6054487745798,1
36,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0.0,-431.6054487745798,5
37,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0.0,-428.22935788458926,1
38,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0.0,-428.1087286430722,1
39,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0.0,-428.0155207456809,3
40,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0.0,-427.79081927602294,1
41,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0.0,-427.6446001923079,1
42,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0.0,-427.52397095079084,2
43,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0.0,-427.50454541249326,2
44,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0.0,-427.3839161709762,2
45,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0.0,-427.0874584221359,2
46,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0.0,-426.9668291806188,2
47,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0.0,-426.7899411693918,1
48,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0.0,-426.4190206160188,3
49,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0.0,-426.4096542932047,3
50,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0.0,-426.29839137450176,3
51,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0.0,-426.28902505168764,1
52,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0.0,-423.2181595653303,4
53,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0.0,-423.2181595653303,4
54,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0.0,-423.09753032381326,3
55,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0.0,-423.09753032381326,4
56,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0.0,-422.84723901195736,3
57,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0.0,-422.84723901195736,1
58,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0.0,-422.7266097704403,1
59,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0.0,-422.7266097704403,2
60,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0.0,-422.299989060579,3
61,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0.0,-422.179359819062,2
62,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0.0,-422.0552875909212,2
63,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0.0,-421.0870755281643,1
64,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0.0,-420.95378024277295,3
65,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0.0,-420.5761001949767,1
66,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.0,-420.3863497062475,1
67,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0.0,-419.8614959518752,1
68,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0.0,-418.42358061892,2
69,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0.0,-418.30295137740296,6
70,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0.0,-417.91110216525226,3
71,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0.0,-417.7904729237352,5
72,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0.0,-417.5026278802285,1
73,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0.0,-417.3819986387114,3
74,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0.0,-417.3819986387115,3
75,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0.0,-416.87333806739775,3
76,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0.0,-416.6286365977399,1
77,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0.0,-416.28971434781374,2
78,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0.0,-416.28971434781374,1
79,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0.0,-416.1199638590845,1
80,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0.0,-415.8336899955548,2
81,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0.0,-415.83368999555483,2
82,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0.0,-415.7130607540377,1
83,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0.0,-415.71306075403777,1
84,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0.0,-415.64775849110873,1
85,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0.0,-415.5889885258969,1
86,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0.0,-415.2474716149216,1
87,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0.0,-415.1268423734046,1
88,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0.0,-414.6081104192658,2
89,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0.0,-414.48748117774875,1
90,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0.0,-412.7080489338182,1
91,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0.0,-412.3291254968076,1
92,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0.0,-412.1955704801504,2
93,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0.0,-412.07597688704726,1
94,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0.0,-412.07597688704726,2
95,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0.0,-411.95534764553014,4
96,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0.0,-411.9553476455302,3
97,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0.0,-411.49173637942863,1
98,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0.0,-411.35357750110865,2
99,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0.0,-411.10139028775814,1
100,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0.0,-410.7769239073327,1
101,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0.0,-410.4060033539597,1
102,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0.0,-410.38678604465673,2
103,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0.0,-410.34983691697533,2
104,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0.0,-410.2819311258189,1
105,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0.0,-410.26615680313967,3
