,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,chain_break_fraction,energy,num_occurrences
0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0.0,-805.0202770313759,1
1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.0,-796.7155114343631,3
2,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0.0,-796.0028041005734,2
3,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0.0,-795.5987883246663,3
4,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0.0,-789.4291568497973,3
5,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0.0,-787.852309434545,2
6,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0.0,-787.2940227276532,2
7,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0.0,-786.7574183152564,1
8,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0.0,-786.5813153938637,3
9,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,-785.6178468485406,4
10,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0.0,-780.0076681430875,1
11,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0.0,-779.5475438375319,2
12,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0.0,-779.2731628463063,1
13,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0.0,-778.8348365037424,1
14,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0.0,-778.7097867406768,1
15,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,-778.3314922639748,1
16,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0.0,-777.34562018191,1
17,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0.0,-776.7546448487225,1
18,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0.0,-771.9019707646775,2
19,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0.0,-771.7813415231602,2
20,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0.0,-770.4123289943519,1
21,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0.0,-770.4050211436639,8
22,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0.0,-770.1260551308222,2
23,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0.0,-770.034100590291,1
24,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0.0,-769.6923138098742,1
25,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0.0,-769.5794507184254,1
26,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0.0,-769.4133477970325,1
27,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0.0,-769.3213932565013,3
28,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0.0,-769.2882980339672,2
29,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,-768.7361531152393,1
30,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,-768.4498792517096,3
31,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0.0,-768.3184566777442,1
32,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0.0,-767.6121221548545,1
33,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0.0,-767.2412016014816,1
34,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0.0,-766.4136889992443,2
35,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0.0,-765.2969658895478,1
36,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0.0,-765.2069619498697,2
37,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0.0,-763.6994165880567,2
